activity_id,deal_id,Type,marked_as_done_ts,deleted
18165,1580,meeting,2021-04-12,false
9436,4250,meeting,2020-12-22,false
2537,979,note,2022-01-27,false
16188,2867,meeting,2021-12-09,false
16402,3127,note,2022-01-13,false
14967,2164,soft_claim,2020-02-24,false
16251,1267,note,2021-12-15,false
2666,369,note,2022-03-04,false
13991,1179,note,2021-11-16,false
15895,2201,note,2021-10-14,false
18166,4146,meeting,2021-04-12,false
254,308,call,,false
440,2988,call,,false
533,1147,call,,false
916,3890,call,,false
1724,3294,call,,false
1993,4203,call,2021-11-10,false
2615,2222,call,2021-11-22,false
2993,4749,call,2020-02-07,false
3044,4918,call,2020-08-12,false
3127,453,call,2021-10-07,false
3155,3442,call,2021-07-09,false
3181,4611,call,2021-09-03,false
3184,4894,call,2021-11-09,false
3685,2176,call,2020-11-25,false
3692,2377,call,2020-12-01,false
3808,2142,call,2019-07-31,false
3821,2941,call,2019-09-09,false
4100,23,call,2020-11-18,false
4691,45,call,2021-11-09,false
4717,3090,call,2022-01-14,false
4965,1650,call,2021-08-18,false
5002,4472,call,2021-08-10,false
5256,405,call,2022-01-05,false
5258,405,call,2022-01-13,false
6852,564,call,2020-08-17,false
7066,4538,call,2020-10-20,false
7432,2952,call,2021-02-23,false
7475,4294,call,2021-02-16,false
7550,1022,call,2021-05-17,false
7552,1377,call,2021-05-20,false
7631,220,call,2021-09-13,false
7646,535,call,2021-10-21,false
7663,4859,call,2021-10-21,false
8330,1107,call,,true
8377,1372,call,2020-08-20,false
8411,2842,call,2021-07-07,false
8565,779,call,2022-04-26,false
8662,4348,call,2022-04-20,false
9451,4645,call,2021-02-19,false
9512,1395,call,2021-08-12,false
9556,4524,call,2021-07-06,false
9592,4592,call,2021-10-21,false
9602,3173,call,2021-11-17,false
9625,3908,call,2021-11-30,false
9647,1883,call,2022-01-17,false
9979,808,call,2023-01-24,false
10260,4689,call,2023-02-01,false
10366,4804,call,2023-02-14,false
10406,2402,call,,true
10549,26,call,2020-11-18,false
10720,1607,call,2021-02-02,false
10745,3650,call,2021-03-19,false
10764,4936,call,2021-06-29,false
10767,1432,call,2021-04-07,false
10853,4745,call,2021-06-11,false
10933,3697,call,2021-09-23,false
11006,2568,call,2021-10-15,false
11009,3372,call,2021-11-02,false
11151,4748,call,2022-01-19,false
11380,971,call,2022-01-24,false
12045,1895,call,,true
12642,911,call,2020-04-06,false
12650,62,call,2020-06-16,false
12845,1043,call,2021-01-25,false
12926,1660,call,2021-05-18,false
13062,1444,call,2022-01-18,false
13086,1738,call,2021-11-17,false
13950,98,call,2023-02-15,false
13952,395,call,2023-02-15,false
14008,1579,call,,true
14151,1151,call,,true
14167,4588,call,,true
14491,895,call,,true
14653,1558,call,,true
14750,1838,call,2020-08-03,false
14837,646,call,2019-09-17,false
14864,1471,call,2020-08-06,false
15037,3,call,2020-05-08,false
15215,381,call,2021-02-17,false
15359,4902,call,2021-06-03,false
15745,194,call,2020-08-17,false
15760,3123,call,2020-10-05,false
15848,573,call,2020-11-03,false
15866,4811,call,2020-12-22,false
15894,4615,call,2021-09-22,false
15907,3494,call,2021-03-04,false
15918,1396,call,2021-03-01,false
15926,1396,call,2021-02-11,false
15931,2920,call,2021-02-24,false
15940,1141,call,2021-03-08,false
15958,525,call,2021-02-24,false
16032,4024,call,2021-05-11,false
16066,1001,call,2021-07-02,false
16096,1091,call,2021-09-22,false
16161,1806,call,2021-11-08,false
16176,4075,call,2021-12-14,false
16196,54,call,2021-11-18,false
16260,607,call,2021-12-27,false
16291,3556,call,2022-01-18,false
16372,4367,call,2021-11-30,false
16415,4244,call,2021-11-25,false
17256,2224,call,2023-03-09,false
18126,3166,call,2020-08-31,false
18203,4145,call,2021-10-05,false
18226,4611,call,2021-09-03,false
18705,167,call,2022-05-23,false
18970,3581,call,2022-01-06,false
19425,1311,call,2020-01-20,false
19536,2152,call,2020-07-23,false
19565,26,call,2021-02-09,false
19590,4908,call,2020-10-22,false
19599,3530,call,2021-09-21,false
19606,852,call,2021-01-13,false
19621,890,call,2021-04-20,false
19684,1573,call,2021-06-10,false
19694,416,call,2021-10-08,false
19765,4734,call,2020-11-27,false
19924,4700,call,2021-07-01,false
19940,3732,call,2021-09-13,false
20550,4113,call,2023-02-09,false
20632,1764,call,,true
20669,993,call,2021-07-05,false
20691,4724,call,2021-07-01,false
20780,2189,call,2021-09-09,false
20808,583,call,2021-10-21,false
20809,583,call,2021-12-10,false
20820,152,call,2021-12-15,false
20850,3635,call,2021-10-04,false
20964,2200,call,2022-05-02,false
58,2271,call,,false
210,3528,call,2023-03-29,false
990,4972,call,2023-03-29,false
1216,4566,call,2023-03-28,false
1833,1726,call,2021-02-09,false
1859,1959,call,2021-03-16,false
1904,141,call,2021-06-25,false
1991,2255,call,2021-11-15,false
2002,1908,call,2021-06-09,false
2049,3038,call,2021-06-22,false
2317,3767,call,2022-11-21,false
2996,874,call,2020-05-04,false
3001,725,call,2020-02-12,false
