deal_id,update_type,old_value,new_value
2960,org_id,,19963
2515,org_id,,20072
3726,org_id,,20773
4020,org_id,,21176
868,org_id,,21192
2576,org_id,,21637
1968,org_id,,21951
3615,org_id,,23054
1441,org_id,,26935
3762,org_id,,26935
1510,org_id,,26936
3570,org_id,,31328
4795,org_id,,35241
3575,person_id,,38183
4638,value,0,120
1834,value,0,120
4367,value,0,150
851,value,0,150
323,value,0,150
1840,value,0,150
399,value,0,150
4604,value,0,150
3628,value,0,150
460,value,0,150
2201,value,0,150
2947,value,0,150
4615,value,0,150
1281,value,0,162
1537,value,0,162
4667,value,0,162
1380,value,0,162
1323,value,0,162
15,value,0,167
3904,value,0,190
3984,value,0,200
2940,value,0,200
669,value,0,234
624,value,0,234
4814,value,0,234
1736,value,0,234
748,value,0,234
3405,value,0,234
3735,value,0,234
2490,value,0,250
478,value,0,250
2432,value,0,265
3093,value,0,265
3659,value,0,265
3659,value,0,265
1691,value,0,300
4352,value,0,350
4158,value,0,350
684,value,0,350
4844,value,0,400
207,value,0,400
3255,value,0,400
2126,value,0,400
3390,value,0,400
3497,value,0,400
2810,value,0,400
4684,value,0,400
3933,value,0,525
1943,value,0,525
3333,value,0,552
4899,value,0,582
4713,value,0,582
397,value,0,582
2365,value,0,582
4070,value,0,632
3603,value,0,632
3140,value,0,704
301,value,0,704
2051,value,0,704
1375,value,0,938
1372,value,0,938
861,value,0,938
4790,value,0,1400
1695,value,0,1407
1502,value,0,1750
1386,value,0,2150
4570,value,0,3000
464,value,0,3725
2953,value,0,9000
209,value,0,29200
4607,value,0,3437.5
3153,stage_id,1,2
3719,stage_id,1,2
3802,stage_id,1,2
928,stage_id,1,2
1413,stage_id,1,2
58,stage_id,1,2
3595,stage_id,1,2
4980,stage_id,1,2
3179,stage_id,1,2
849,stage_id,1,2
3449,stage_id,1,2
4756,stage_id,1,2
1493,stage_id,1,2
3719,stage_id,1,2
4029,stage_id,1,2
4385,stage_id,1,2
4625,stage_id,1,2
501,stage_id,1,2
2076,stage_id,1,2
3574,stage_id,1,2
1550,stage_id,1,2
4416,stage_id,1,2
2690,stage_id,1,2
3033,stage_id,1,2
3797,stage_id,1,2
716,stage_id,1,2
4761,stage_id,1,2
3449,stage_id,1,2
3202,stage_id,1,2
4944,stage_id,1,2
1933,stage_id,1,2
752,stage_id,1,2
4792,stage_id,1,2
2343,stage_id,1,2
1986,stage_id,1,2
3937,stage_id,1,2
1102,stage_id,1,2
2299,stage_id,1,2
1015,stage_id,1,2
1299,stage_id,1,2
4196,stage_id,1,2
4265,stage_id,1,2
4390,stage_id,1,2
3538,stage_id,1,2
2730,stage_id,1,2
497,stage_id,1,2
2762,stage_id,1,2
1203,stage_id,1,2
4988,stage_id,1,2
906,stage_id,1,2
4265,stage_id,1,2
3558,stage_id,1,2
1390,stage_id,1,2
3900,stage_id,1,2
4763,stage_id,1,2
1068,stage_id,1,2
4191,stage_id,1,2
4833,stage_id,1,2
4326,stage_id,1,2
4390,stage_id,1,2
1230,stage_id,1,2
2718,stage_id,1,2
1925,stage_id,1,2
1390,stage_id,1,2
4477,stage_id,1,2
2536,stage_id,1,2
4057,stage_id,1,2
4610,stage_id,1,2
1815,stage_id,1,2
776,stage_id,1,2
2261,stage_id,1,2
785,stage_id,1,2
1067,stage_id,1,2
148,stage_id,1,2
4756,stage_id,1,2
2346,stage_id,1,2
3518,stage_id,1,2
1050,stage_id,1,2
4999,stage_id,1,2
1900,stage_id,1,2
3972,stage_id,1,2
629,stage_id,1,2
4905,stage_id,1,2
2306,stage_id,1,2
3346,stage_id,1,2
945,stage_id,1,2
2079,stage_id,1,2
2078,stage_id,1,2
342,stage_id,1,2
3826,stage_id,1,2
3193,stage_id,1,2
4464,stage_id,1,2
3900,stage_id,1,2
1311,stage_id,1,2
191,stage_id,1,2
1413,stage_id,1,2
3593,stage_id,1,2
1183,stage_id,1,2
727,stage_id,1,2
681,stage_id,1,2
3973,stage_id,1,2
477,stage_id,1,2
2312,stage_id,1,2
414,stage_id,1,2
4692,stage_id,1,2
4756,stage_id,1,2
4477,stage_id,1,2
237,stage_id,1,2
2098,stage_id,1,2
3449,stage_id,1,2
2983,stage_id,1,2
1925,stage_id,1,2
2023,stage_id,1,2
3565,stage_id,1,2
1583,stage_id,1,2
4572,stage_id,1,2
139,stage_id,1,2
676,stage_id,1,2
2047,stage_id,1,2
4778,stage_id,1,2
4335,stage_id,1,2
3302,stage_id,1,2
4785,stage_id,1,2
621,stage_id,1,2
4029,stage_id,1,2
3747,stage_id,1,2
3950,stage_id,1,2
540,stage_id,1,2
1933,stage_id,1,2
4329,stage_id,1,2
3384,stage_id,1,2
636,stage_id,1,2
1321,stage_id,1,2
72,stage_id,1,2
3670,stage_id,1,2
2605,stage_id,1,2
1530,stage_id,1,2
4880,stage_id,1,2
2150,stage_id,1,2
2047,stage_id,1,2
4535,stage_id,1,2
1057,stage_id,1,2
4413,stage_id,1,2
1418,stage_id,1,2
4495,stage_id,1,2
2148,stage_id,1,2
3565,stage_id,1,2
1941,stage_id,1,2
2149,stage_id,1,2
1253,stage_id,1,2
843,stage_id,1,2
1530,stage_id,1,2
3422,stage_id,1,2
2215,stage_id,1,2
1810,stage_id,1,2
320,stage_id,1,2
2858,stage_id,1,2
1885,stage_id,1,2
169,stage_id,1,2
1983,stage_id,1,2
1413,stage_id,1,2
917,stage_id,1,2
3068,stage_id,1,2
1137,stage_id,1,2
1057,stage_id,1,2
662,stage_id,1,2
4338,stage_id,1,2
2571,stage_id,1,2
2941,stage_id,1,2
2070,stage_id,1,2
1624,stage_id,1,2
2475,stage_id,1,2
4052,stage_id,1,2
1128,stage_id,1,2
4653,stage_id,1,2
1479,stage_id,1,2
